4月,1500,1378.32,1025.37,318,316.9,165.9,212.2
5月,1700,1086.5,220.9,481,416.5,153.18,129.15
6月,1760,1486.03,498,137.24,157.09,331.68,194.13,0,0,0,0
7月,1774,1501.96,187,320.18,154.37,166.5,153.9,0,0,0,0
8月,1668.5,2354.9,617.48,243.8,198.31,171.15,38.8,0,0,0,0
9月,1752,1202.94,349,576,215.4,180.31,49.7,0,0,0,0
10月,1732.5,1063.01,115.7,716,186.55,103.2,14.2,0,0,0,0
11月,1853,1410.96,1248.8,14.47,107.4,316.5,67.81,0,0,0,0
12月,1700,1390.82,975.55,67.92,354.1,215.2,41,0,0,0,0
1月,2245,1340.78,519.7,0,348.25,1025.71,65,0,0,0,0
2月,1420,1775.61,402,100,178,357.09,238.7,0,0,0,0
3月,1312,1223.08,208,60,135.5,52.6,91.6,0,0,0,0
月均,1701 ,1435 ,531 ,253 ,231 ,270 ,108 ,0,0,0,0
预算月均,1725,1500,525,250,225,283.3333333,108.3333333,0,0,0,0
